確認項目,用途,確認理由
用途地域,購入判断・重要事項説明,都市計画GISまたは都市計画図で確認
建ぺい率・容積率,購入判断・重要事項説明,収益性、増改築余地に影響
防火地域・準防火地域,重要事項説明,建築コスト、建築制限に影響
高度地区,購入判断・重要事項説明,建物高さ、収益性に影響
地区計画,購入判断・重要事項説明,用途、形態、壁面後退等に影響
景観計画・景観条例,重要事項説明,外観、広告物、建築制限に影響
指定道路図,購入判断・重要事項説明,再建築可否、接道義務に直結
道路台帳・幅員,購入判断・重要事項説明,道路幅員、容積率、セットバックに影響
建築基準法上の道路種別,購入判断・重要事項説明,再建築可否に直結
洪水ハザード,購入判断・重要事項説明,災害リスク、説明義務、価格に影響
内水ハザード,購入判断・重要事項説明,自治体により別マップの場合あり
高潮ハザード,購入判断・重要事項説明,湾岸部などで重要
土砂災害警戒区域,重要事項説明,都道府県サイト確認が必要な場合あり
津波災害警戒区域,重要事項説明,都道府県サイト確認が必要な場合あり
宅地造成等工事規制区域,重要事項説明,盛土規制法・都道府県確認が必要
造成宅地防災区域,重要事項説明,自治体サイトにない場合あり
日影規制,購入判断・重要事項説明,用途地域だけでは判断できないため別確認
