prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority,review_decision
東京都,世田谷区,hazard,ハザード,水害・雪害・土砂災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12356.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,中央区,building_guidance,建築確認,建築関係総合窓口（ワンストップ窓口）を開設しています,https://www.city.chuo.lg.jp/a0040/machizukuri/kenchiku/soumado.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,中央区,district_plan,都市計画情報,景観,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/keikan/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,中野区,district_plan,都市計画情報,高度地区および最低限高度地区7mについて,https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/kodochiku.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,中野区,district_plan,都市計画情報,都市計画制度,https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/toshikeikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,台東区,building_guidance,建築確認,確認候補,https://www.city.taito.lg.jp/kenchiku/machibika/kosyu/webmap.html#PTOP,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,台東区,district_plan,都市計画情報,各種計画など,https://www.city.taito.lg.jp/kenchiku/toshikeikaku/keikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,台東区,hazard,ハザード,宅地建物取引業者の方へ（台東区ハザードマップ作成状況）,https://www.city.taito.lg.jp/bosai/map/saigai/gyosha.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,品川区,district_plan,都市計画情報,9999_ 戸越六丁目地区地区計画について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-toshiseibi/20210219092120.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,品川区,district_plan,都市計画情報,9999_ 西品川二・三丁目地区地区計画について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-toshiseibi/20251014165418.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,品川区,district_plan,都市計画情報,9999_ 小山台一丁目地区防災街区整備地区計画について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-toshiseibi/20251111103608.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,墨田区,building_guidance,建築確認,主な建築基準法関連規定,https://www.city.sumida.lg.jp/matizukuri/kentiku/keikaku/kanren_kitei.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,墨田区,hazard,ハザード,宅地建物取引業者の方へ（墨田区水害ハザードマップ）,https://www.city.sumida.lg.jp/anzen_anshin/bousai/suigai/takutikatemono.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,大田区,building_guidance,建築確認,建築審査課,https://www.city.ota.tokyo.jp/kuseijoho/soshiki/gyoumu/kenchikushinsa.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,大田区,building_guidance,建築確認,建築調整課,https://www.city.ota.tokyo.jp/kuseijoho/soshiki/gyoumu/kenchikuchousei.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,大田区,district_plan,都市計画情報,確認候補,https://www.city.ota.tokyo.jp/seikatsu/sumaimachinami/machizukuri/toshikeikaku/chiikichikuzu.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,大田区,district_plan,都市計画情報,確認候補,https://www.city.ota.tokyo.jp/seikatsu/sumaimachinami/machizukuri/toshikeikaku/toshikeikakudoro/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,文京区,building_guidance,建築確認,建築確認等の手続きの改正について,https://www.city.bunkyo.lg.jp/b033/p007602.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,文京区,district_plan,都市計画情報,住宅・住環境の計画に関すること,https://www.city.bunkyo.lg.jp/machizukuri/toshikeikaku/juutaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,文京区,district_plan,都市計画情報,景観,https://www.city.bunkyo.lg.jp/machizukuri/toshikeikaku/keikan/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
